tick,timestamp,device_name,record_type,cpu_utilization,cpu_growth_rate,cpu_temperature,interrupt_rate,process_count,memory_utilization,interface_packet_rate,bandwidth_utilization,throughput_mbps,latency_ms,jitter_ms,packet_loss,queue_occupancy,interface_errors,bgp_events,ospf_events,tunnel_latency_ms,tunnel_packet_loss,tunnel_jitter_ms,route_changes,link_availability,link_status
0,1970-01-01T00:00:00Z,datacenter-1,device,49.07,14.07,167.68,5037.7,121,46.56,4712.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,mpls-hub-1,device,55.51,15.51,211.53,8058.38,97,51.48,5837.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-1,device,39.07,14.07,123.14,2023.56,56,35.94,4712.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-2,device,39.09,14.09,123.18,2023.62,56,35.95,4725.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-3,device,39.07,14.07,123.14,2023.56,56,35.94,4712.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-4,device,40.53,15.53,126.06,2029.25,57,36.13,5850.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,datacenter-1_to_mpls-hub-1,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0042,42.2,1.008,0.1,0.000104,4,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,mpls-hub-1_to_branch-1,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0422,42.2,16.266,0.521,0.000711,43,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,mpls-hub-1_to_branch-2,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0423,42.25,13.014,0.417,0.000711,43,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,mpls-hub-1_to_branch-3,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0844,42.2,52.596,1.301,0.001844,86,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,mpls-hub-1_to_branch-4,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0935,46.75,59.35,1.64,0.001935,95,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-1_to_branch-2,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1888,37.75,34.438,2.377,0.005775,193,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,branch-3_to_branch-4,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2112,42.25,42.675,3.028,0.006225,216,0,0,0,0.0,0.0,0.0,0,1.0,UP
0,1970-01-01T00:00:00Z,ipsec-dc-to-hub,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.2,0.0002,0,0,0,0,2.0,0.0002,0.2,0,1.0,UP
0,1970-01-01T00:00:00Z,ipsec-hub-to-branch1,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.8,0.0008,0,0,0,0,16.0,0.0008,0.8,0,1.0,UP
0,1970-01-01T00:00:00Z,ipsec-hub-to-branch2,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,0.6,0.0008,0,0,0,0,13.0,0.0008,0.6,0,1.0,UP
0,1970-01-01T00:00:00Z,ipsec-hub-to-branch3,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.0,1.8,0.0015,0,0,0,0,48.0,0.0015,1.8,0,1.0,UP
0,1970-01-01T00:00:00Z,ipsec-hub-to-branch4,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.0,2.0,0.0015,0,0,0,0,53.0,0.0015,2.0,0,1.0,UP
1,1970-01-01T00:01:00Z,datacenter-1,device,49.12,0.0471,167.79,5037.84,121,46.56,4729.71,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,mpls-hub-1,device,55.25,-0.2585,210.75,8052.02,97,51.46,5202.37,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-1,device,39.12,0.0471,123.23,2023.65,56,35.95,4729.71,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-2,device,40.57,1.4774,126.13,2029.31,57,36.13,5862.75,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-3,device,40.25,1.1815,125.5,2026.01,57,36.12,5202.37,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-4,device,40.57,0.0374,126.13,2029.31,57,36.13,5862.75,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,datacenter-1_to_mpls-hub-1,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.004,39.73,1.008,0.1,0.000104,4,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,mpls-hub-1_to_branch-1,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0397,39.73,16.192,0.52,0.000699,40,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,mpls-hub-1_to_branch-2,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0443,44.26,13.062,0.418,0.000721,45,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,mpls-hub-1_to_branch-3,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0832,41.62,52.491,1.3,0.001832,85,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,mpls-hub-1_to_branch-4,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0885,44.26,58.852,1.633,0.001885,90,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-1_to_branch-2,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2118,42.37,35.592,2.424,0.006237,216,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,branch-3_to_branch-4,link,0.0,0.0,0.0,0.0,0,0.0,0.0,0.2213,44.26,43.278,3.053,0.006426,226,0,0,0,0.0,0.0,0.0,0,1.0,UP
1,1970-01-01T00:01:00Z,ipsec-dc-to-hub,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.2,0.0002,0,0,0,0,2.0,0.0002,0.2,0,1.0,UP
1,1970-01-01T00:01:00Z,ipsec-hub-to-branch1,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.0,0.8,0.0008,0,0,0,0,16.0,0.0008,0.8,0,1.0,UP
1,1970-01-01T00:01:00Z,ipsec-hub-to-branch2,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,0.6,0.0008,0,0,0,0,13.0,0.0008,0.6,0,1.0,UP
1,1970-01-01T00:01:00Z,ipsec-hub-to-branch3,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.0,1.8,0.0015,0,0,0,0,48.0,0.0015,1.8,0,1.0,UP
1,1970-01-01T00:01:00Z,ipsec-hub-to-branch4,tunnel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,53.0,2.0,0.0015,0,0,0,0,53.0,0.0015,2.0,0,1.0,UP
2,1970-01-01T00:02:00Z,datacenter-1,device,49.16,0.0471,167.91,5037.98,121,46.57,4746.92,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
2,1970-01-01T00:02:00Z,mpls-hub-1,device,79.76,24.5066,284.27,8119.21,99,53.66,11921.32,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
2,1970-01-01T00:02:00Z,branch-1,device,39.19,0.0695,123.37,2023.8,56,35.95,4760.93,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
2,1970-01-01T00:02:00Z,branch-2,device,39.16,-1.4032,123.33,2023.73,56,35.95,4746.92,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1.0,UP
